,icr_pctl,delta_zscore,trigger_level,fuel_level,fuel_speed,risk_score,state
1996-12-31,100.0,0.9905150237294066,,0.0,0.0,,NORMAL
1997-01-31,100.0,0.6921305276880606,,0.0,0.0,,NORMAL
1997-02-28,100.0,0.6921305276880606,,0.0,0.0,,NORMAL
1997-03-31,100.0,0.6921305276880606,,0.0,0.0,,NORMAL
1997-04-30,100.0,0.8224986208402786,,0.0,0.0,,NORMAL
1997-05-31,100.0,0.8224986208402786,,0.0,0.0,,NORMAL
1997-06-30,100.0,0.8224986208402786,,0.0,0.0,,NORMAL
1997-07-31,95.0,-0.12827736992267602,,0.0,0.06413868496133801,,NORMAL
1997-08-31,95.0,-0.12827736992267602,,0.0,0.06413868496133801,,NORMAL
1997-09-30,95.0,-0.12827736992267602,,0.0,0.06413868496133801,,NORMAL
1997-10-31,97.5,-0.5793826382747018,,0.0,0.2896913191373509,,NORMAL
1997-11-30,97.5,-0.5793826382747018,,0.0,0.2896913191373509,,NORMAL
1997-12-31,97.5,-0.5793826382747018,,0.0,0.2896913191373509,,NORMAL
1998-01-31,100.0,-0.23059281776342694,,0.0,0.11529640888171347,,NORMAL
1998-02-28,100.0,-0.23059281776342694,,0.0,0.11529640888171347,,NORMAL
1998-03-31,100.0,-0.23059281776342694,,0.0,0.11529640888171347,,NORMAL
1998-04-30,85.0,-1.0862439434088529,,0.0,0.5431219717044264,,NORMAL
1998-05-31,85.0,-1.0862439434088529,,0.0,0.5431219717044264,,NORMAL
1998-06-30,85.0,-1.0862439434088529,,0.0,0.5431219717044264,,NORMAL
1998-07-31,62.5,-2.45275602679637,,0.0,1.0,,ELEVATED_RISK
1998-08-31,62.5,-2.45275602679637,,0.0,1.0,,ELEVATED_RISK
1998-09-30,62.5,-2.45275602679637,,0.0,1.0,,ELEVATED_RISK
1998-10-31,62.5,-2.2202230743253764,,0.0,1.0,,ELEVATED_RISK
1998-11-30,62.5,-2.2202230743253764,,0.0,1.0,,ELEVATED_RISK
1998-12-31,62.5,-2.2202230743253764,,0.0,1.0,,ELEVATED_RISK
1999-01-31,65.0,-2.1841907530318427,,0.0,1.0,,ELEVATED_RISK
1999-02-28,65.0,-2.1841907530318427,,0.0,1.0,,ELEVATED_RISK
1999-03-31,65.0,-2.1841907530318427,,0.0,1.0,,ELEVATED_RISK
1999-04-30,55.00000000000001,-1.9543401586246862,,0.0,0.9771700793123431,,ELEVATED_RISK
1999-05-31,55.00000000000001,-1.9543401586246862,,0.0,0.9771700793123431,,ELEVATED_RISK
1999-06-30,55.00000000000001,-1.9543401586246862,,0.0,0.9771700793123431,,ELEVATED_RISK
1999-07-31,55.00000000000001,-0.38020265465339936,,0.0,0.19010132732669968,,NORMAL
1999-08-31,55.00000000000001,-0.38020265465339936,,0.0,0.19010132732669968,,NORMAL
1999-09-30,55.00000000000001,-0.38020265465339936,,0.0,0.19010132732669968,,NORMAL
1999-10-31,55.00000000000001,-0.41286700081419186,,0.0,0.20643350040709593,,NORMAL
1999-11-30,55.00000000000001,-0.41286700081419186,,0.0,0.20643350040709593,,NORMAL
1999-12-31,55.00000000000001,-0.41286700081419186,,0.0,0.20643350040709593,,NORMAL
2000-01-31,45.0,-1.0068640359459566,,0.0,0.5034320179729783,,NORMAL
2000-02-29,45.0,-1.0068640359459566,,0.0,0.5034320179729783,,NORMAL
2000-03-31,45.0,-1.0068640359459566,,0.0,0.5034320179729783,,NORMAL
2000-04-30,40.0,-0.9113723233985687,,0.0,0.45568616169928433,,NORMAL
2000-05-31,40.0,-0.9113723233985687,,0.0,0.45568616169928433,,NORMAL
2000-06-30,40.0,-0.9113723233985687,,0.0,0.45568616169928433,,NORMAL
2000-07-31,37.5,-1.4374011115868626,,0.0,0.7187005557934313,,ELEVATED_RISK
2000-08-31,37.5,-1.4374011115868626,,0.0,0.7187005557934313,,ELEVATED_RISK
2000-09-30,37.5,-1.4374011115868626,,0.0,0.7187005557934313,,ELEVATED_RISK
2000-10-31,30.0,-1.7553851125558688,,0.0,0.8776925562779344,,ELEVATED_RISK
2000-11-30,30.0,-1.7553851125558688,,0.0,0.8776925562779344,,ELEVATED_RISK
2000-12-31,30.0,-1.7553851125558688,,0.0,0.8776925562779344,,ELEVATED_RISK
2001-01-31,22.5,-1.8432488723835094,,0.25,0.9216244361917547,,ELEVATED_RISK
2001-02-28,22.5,-1.8432488723835094,,0.25,0.9216244361917547,,ELEVATED_RISK
2001-03-31,22.5,-1.8432488723835094,,0.25,0.9216244361917547,,ELEVATED_RISK
2001-04-30,15.0,-2.0183120160035655,,0.5,1.0,,ELEVATED_RISK
2001-05-31,15.0,-2.0183120160035655,,0.5,1.0,,ELEVATED_RISK
2001-06-30,15.0,-2.0183120160035655,,0.5,1.0,,ELEVATED_RISK
2001-07-31,12.5,-1.7929648421199829,,0.5833333333333334,0.8964824210599914,,ELEVATED_RISK
2001-08-31,12.5,-1.7929648421199829,,0.5833333333333334,0.8964824210599914,,ELEVATED_RISK
2001-09-30,12.5,-1.7929648421199829,,0.5833333333333334,0.8964824210599914,,ELEVATED_RISK
2001-10-31,7.5,-1.5338995754651548,,0.75,0.7669497877325774,,ELEVATED_RISK
2001-11-30,7.5,-1.5338995754651548,,0.75,0.7669497877325774,,ELEVATED_RISK
2001-12-31,7.5,-1.5338995754651548,,0.75,0.7669497877325774,,ELEVATED_RISK
2002-01-31,0.0,-1.2926327629331242,,1.0,0.6463163814665621,,ELEVATED_RISK
2002-02-28,0.0,-1.2926327629331242,,1.0,0.6463163814665621,,ELEVATED_RISK
2002-03-31,0.0,-1.2926327629331242,,1.0,0.6463163814665621,,ELEVATED_RISK
2002-04-30,0.0,-1.4156690023147007,,1.0,0.7078345011573504,,ELEVATED_RISK
2002-05-31,0.0,-1.4156690023147007,,1.0,0.7078345011573504,,ELEVATED_RISK
2002-06-30,0.0,-1.4156690023147007,,1.0,0.7078345011573504,,ELEVATED_RISK
2002-07-31,2.5,-0.6189025120432725,,0.9166666666666666,0.30945125602163626,,BUFFER_LOW
2002-08-31,2.5,-0.6189025120432725,,0.9166666666666666,0.30945125602163626,,BUFFER_LOW
2002-09-30,2.5,-0.6189025120432725,,0.9166666666666666,0.30945125602163626,,BUFFER_LOW
2002-10-31,10.0,0.10802207455190846,,0.6666666666666666,0.0,,BUFFER_LOW
2002-11-30,10.0,0.10802207455190846,,0.6666666666666666,0.0,,BUFFER_LOW
2002-12-31,10.0,0.10802207455190846,,0.6666666666666666,0.0,,BUFFER_LOW
2003-01-31,20.0,0.9796638481992946,,0.3333333333333333,0.0,,NORMAL
2003-02-28,20.0,0.9796638481992946,,0.3333333333333333,0.0,,NORMAL
2003-03-31,20.0,0.9796638481992946,,0.3333333333333333,0.0,,NORMAL
2003-04-30,27.500000000000004,2.2378155430844666,,0.08333333333333322,0.0,,NORMAL
2003-05-31,27.500000000000004,2.2378155430844666,,0.08333333333333322,0.0,,NORMAL
2003-06-30,27.500000000000004,2.2378155430844666,,0.08333333333333322,0.0,,NORMAL
2003-07-31,35.0,1.982723965964732,,0.0,0.0,,NORMAL
2003-08-31,35.0,1.982723965964732,,0.0,0.0,,NORMAL
2003-09-30,35.0,1.982723965964732,,0.0,0.0,,NORMAL
2003-10-31,37.5,1.4347788767901883,,0.0,0.0,,NORMAL
2003-11-30,37.5,1.4347788767901883,,0.0,0.0,,NORMAL
2003-12-31,37.5,1.4347788767901883,,0.0,0.0,,NORMAL
2004-01-31,45.0,1.4400523718156597,,0.0,0.0,,NORMAL
2004-02-29,45.0,1.4400523718156597,,0.0,0.0,,NORMAL
2004-03-31,45.0,1.4400523718156597,,0.0,0.0,,NORMAL
2004-04-30,65.0,1.2727785607088489,,0.0,0.0,,NORMAL
2004-05-31,65.0,1.2727785607088489,,0.0,0.0,,NORMAL
2004-06-30,65.0,1.2727785607088489,,0.0,0.0,,NORMAL
2004-07-31,82.5,1.7529841272745461,,0.0,0.0,,NORMAL
2004-08-31,82.5,1.7529841272745461,,0.0,0.0,,NORMAL
2004-09-30,82.5,1.7529841272745461,,0.0,0.0,,NORMAL
2004-10-31,100.0,2.227665260720283,,0.0,0.0,,NORMAL
2004-11-30,100.0,2.227665260720283,,0.0,0.0,,NORMAL
2004-12-31,100.0,2.227665260720283,,0.0,0.0,,NORMAL
2005-01-31,100.0,1.9476787281974859,,0.0,0.0,,NORMAL
2005-02-28,100.0,1.9476787281974859,,0.0,0.0,,NORMAL
2005-03-31,100.0,1.9476787281974859,,0.0,0.0,,NORMAL
2005-04-30,97.5,1.393601212445366,,0.0,0.0,,NORMAL
2005-05-31,97.5,1.393601212445366,,0.0,0.0,,NORMAL
2005-06-30,97.5,1.393601212445366,,0.0,0.0,,NORMAL
2005-07-31,100.0,1.787237912430796,,0.0,0.0,,NORMAL
2005-08-31,100.0,1.787237912430796,,0.0,0.0,,NORMAL
2005-09-30,100.0,1.787237912430796,,0.0,0.0,,NORMAL
2005-10-31,100.0,1.3614825917680766,,0.0,0.0,,NORMAL
2005-11-30,100.0,1.3614825917680766,,0.0,0.0,,NORMAL
2005-12-31,100.0,1.3614825917680766,,0.0,0.0,,NORMAL
2006-01-31,97.5,0.9190507791014667,,0.0,0.0,,NORMAL
2006-02-28,97.5,0.9190507791014667,,0.0,0.0,,NORMAL
2006-03-31,97.5,0.9190507791014667,,0.0,0.0,,NORMAL
2006-04-30,100.0,1.8519574738291344,,0.0,0.0,,NORMAL
2006-05-31,100.0,1.8519574738291344,,0.0,0.0,,NORMAL
2006-06-30,100.0,1.8519574738291344,,0.0,0.0,,NORMAL
2006-07-31,100.0,0.9336870801266606,,0.0,0.0,,NORMAL
2006-08-31,100.0,0.9336870801266606,,0.0,0.0,,NORMAL
2006-09-30,100.0,0.9336870801266606,,0.0,0.0,,NORMAL
2006-10-31,100.0,0.7566360099160185,,0.0,0.0,,NORMAL
2006-11-30,100.0,0.7566360099160185,,0.0,0.0,,NORMAL
2006-12-31,100.0,0.7566360099160185,0.08333333333333331,0.0,0.0,0.037878787878787866,NORMAL
2007-01-31,100.0,0.9916865081081746,0.04166666666666666,0.0,0.0,0.018939393939393933,NORMAL
2007-02-28,100.0,0.9916865081081746,0.05833333333333333,0.0,0.0,0.02651515151515151,NORMAL
2007-03-31,100.0,0.9916865081081746,0.08333333333333331,0.0,0.0,0.037878787878787866,NORMAL
2007-04-30,90.0,-0.9805899814312293,0.05,0.0,0.49029499071561466,0.17873022431860464,NORMAL
2007-05-31,90.0,-0.9805899814312293,0.0,0.0,0.49029499071561466,0.15600295159133193,NORMAL
2007-06-30,90.0,-0.9805899814312293,0.125,0.0,0.49029499071561466,0.21282113340951372,NORMAL
2007-07-31,80.0,-1.8257639382945623,0.43333333333333335,0.0,0.9128819691472811,0.4874321416983773,ELEVATED_RISK
2007-08-31,80.0,-1.8257639382945623,0.475,0.0,0.9128819691472811,0.5063715356377713,ELEVATED_RISK
2007-09-30,80.0,-1.8257639382945623,0.43333333333333335,0.0,0.9128819691472811,0.4874321416983773,ELEVATED_RISK
2007-10-31,77.5,-2.0754792467283885,0.45,0.0,1.0,0.5227272727272726,ELEVATED_RISK
2007-11-30,77.5,-2.0754792467283885,0.65,0.0,1.0,0.6136363636363636,CREDIT_DELEVERAGING
2007-12-31,77.5,-2.0754792467283885,0.6666666666666665,0.0,1.0,0.6212121212121211,CREDIT_DELEVERAGING
2008-01-31,60.0,-2.659593632683472,0.7583333333333333,0.0,1.0,0.6628787878787878,CREDIT_DELEVERAGING
2008-02-29,60.0,-2.659593632683472,0.775,0.0,1.0,0.6704545454545454,CREDIT_DELEVERAGING
2008-03-31,60.0,-2.659593632683472,0.8666666666666667,0.0,1.0,0.712121212121212,CREDIT_DELEVERAGING
2008-04-30,60.0,-1.7846006200318947,0.725,0.0,0.8923003100159473,0.6134591895505286,CREDIT_DELEVERAGING
2008-05-31,60.0,-1.7846006200318947,0.7,0.0,0.8923003100159473,0.6020955531868922,CREDIT_DELEVERAGING
2008-06-30,60.0,-1.7846006200318947,0.7583333333333333,0.0,0.8923003100159473,0.6286107047020438,CREDIT_DELEVERAGING
2008-07-31,42.5,-1.6313670610087292,0.8166666666666668,0.0,0.8156835305043646,0.6307477900089644,CREDIT_DELEVERAGING
2008-08-31,42.5,-1.6313670610087292,0.8916666666666667,0.0,0.8156835305043646,0.6648386990998735,CREDIT_DELEVERAGING
2008-09-30,42.5,-1.6313670610087292,1.0,0.0,0.8156835305043646,0.7140811233422977,CREDIT_DELEVERAGING
2008-10-31,37.5,-1.3048813498298748,1.0,0.0,0.6524406749149374,0.6621402147456619,CREDIT_DELEVERAGING
2008-11-30,37.5,-1.3048813498298748,1.0,0.0,0.6524406749149374,0.6621402147456619,CREDIT_DELEVERAGING
2008-12-31,37.5,-1.3048813498298748,0.9916666666666667,0.0,0.6524406749149374,0.6583523359577831,CREDIT_DELEVERAGING
2009-01-31,47.5,-0.5479071522183325,0.9833333333333333,0.0,0.27395357610916626,0.5341367439135226,ELEVATED_RISK
2009-02-28,47.5,-0.5479071522183325,0.9833333333333333,0.0,0.27395357610916626,0.5341367439135226,ELEVATED_RISK
2009-03-31,47.5,-0.5479071522183325,0.975,0.0,0.27395357610916626,0.5303488651256438,ELEVATED_RISK
2009-04-30,17.5,-1.2769673435302058,0.95,0.4166666666666667,0.6384836717651029,0.729669047076775,CREDIT_DELEVERAGING
2009-05-31,17.5,-1.2769673435302058,0.9416666666666668,0.4166666666666667,0.6384836717651029,0.7258811682888964,CREDIT_DELEVERAGING
2009-06-30,17.5,-1.2769673435302058,0.9166666666666665,0.4166666666666667,0.6384836717651029,0.7145175319252598,CREDIT_DELEVERAGING
2009-07-31,22.5,-0.6156505770737786,0.8666666666666667,0.25,0.3078252885368893,0.5487019857465859,ELEVATED_RISK
2009-08-31,22.5,-0.6156505770737786,0.85,0.25,0.3078252885368893,0.5411262281708283,ELEVATED_RISK
2009-09-30,22.5,-0.6156505770737786,0.7,0.25,0.3078252885368893,0.47294440998901016,ELEVATED_RISK
2009-10-31,27.500000000000004,-0.48562381250726977,0.6333333333333333,0.08333333333333322,0.24281190625363488,0.3840765156261565,ELEVATED_RISK
2009-11-30,27.500000000000004,-0.48562381250726977,0.6333333333333333,0.08333333333333322,0.24281190625363488,0.3840765156261565,ELEVATED_RISK
2009-12-31,27.500000000000004,-0.48562381250726977,0.525,0.08333333333333322,0.24281190625363488,0.33483409138373227,NORMAL
2010-01-31,35.0,-0.3317401679007035,0.55,0.0,0.16587008395035174,0.30277684489329376,NORMAL
2010-02-28,35.0,-0.3317401679007035,0.55,0.0,0.16587008395035174,0.30277684489329376,NORMAL
2010-03-31,35.0,-0.3317401679007035,0.45,0.0,0.16587008395035174,0.25732229943874824,NORMAL
2010-04-30,57.49999999999999,0.9205356455028046,0.425,0.0,0.0,0.19318181818181815,NORMAL
2010-05-31,57.49999999999999,0.9205356455028046,0.5916666666666667,0.0,0.0,0.2689393939393939,NORMAL
2010-06-30,57.49999999999999,0.9205356455028046,0.6,0.0,0.0,0.2727272727272727,NORMAL
2010-07-31,57.49999999999999,0.9031214777530132,0.525,0.0,0.0,0.23863636363636362,NORMAL
2010-08-31,57.49999999999999,0.9031214777530132,0.5666666666666667,0.0,0.0,0.25757575757575757,NORMAL
2010-09-30,57.49999999999999,0.9031214777530132,0.475,0.0,0.0,0.21590909090909088,NORMAL
2010-10-31,60.0,0.8049093284852421,0.4666666666666666,0.0,0.0,0.21212121212121207,NORMAL
2010-11-30,60.0,0.8049093284852421,0.48333333333333334,0.0,0.0,0.21969696969696967,NORMAL
2010-12-31,60.0,0.8049093284852421,0.4083333333333334,0.0,0.0,0.1856060606060606,NORMAL
2011-01-31,60.0,0.686081493560114,0.4083333333333334,0.0,0.0,0.1856060606060606,NORMAL
2011-02-28,60.0,0.686081493560114,0.4083333333333334,0.0,0.0,0.1856060606060606,NORMAL
2011-03-31,60.0,0.686081493560114,0.4083333333333334,0.0,0.0,0.1856060606060606,NORMAL
2011-04-30,57.49999999999999,0.12834958152472975,0.4083333333333334,0.0,0.0,0.1856060606060606,NORMAL
2011-05-31,57.49999999999999,0.12834958152472975,0.44166666666666665,0.0,0.0,0.20075757575757575,NORMAL
2011-06-30,57.49999999999999,0.12834958152472975,0.45833333333333326,0.0,0.0,0.2083333333333333,NORMAL
2011-07-31,47.5,-0.18080601877516964,0.48333333333333334,0.0,0.09040300938758482,0.24846156359301938,NORMAL
2011-08-31,47.5,-0.18080601877516964,0.6916666666666668,0.0,0.09040300938758482,0.34315853328998913,ELEVATED_RISK
2011-09-30,47.5,-0.18080601877516964,0.825,0.0,0.09040300938758482,0.4037645938960497,ELEVATED_RISK
2011-10-31,57.49999999999999,-0.022371316563819292,0.6666666666666665,0.0,0.011185658281909646,0.3065893761200015,ELEVATED_RISK
2011-11-30,57.49999999999999,-0.022371316563819292,0.75,0.0,0.011185658281909646,0.34446816399878943,ELEVATED_RISK
2011-12-31,57.49999999999999,-0.022371316563819292,0.6916666666666668,0.0,0.011185658281909646,0.31795301248363794,ELEVATED_RISK
2012-01-31,55.00000000000001,-0.2313487814232116,0.6083333333333333,0.0,0.1156743907116058,0.31332063946884425,ELEVATED_RISK
2012-02-29,55.00000000000001,-0.2313487814232116,0.5416666666666666,0.0,0.1156743907116058,0.2830176091658139,NORMAL
2012-03-31,55.00000000000001,-0.2313487814232116,0.55,0.0,0.1156743907116058,0.28680548795369276,NORMAL
2012-04-30,55.00000000000001,-0.11293016134259912,0.5583333333333333,0.0,0.05646508067129956,0.27175404081965593,NORMAL
2012-05-31,55.00000000000001,-0.11293016134259912,0.6833333333333332,0.0,0.05646508067129956,0.3285722226378377,ELEVATED_RISK
2012-06-30,55.00000000000001,-0.11293016134259912,0.6,0.0,0.05646508067129956,0.29069343475904985,NORMAL
